name,pro,flag,optical_pro,original_pro
accents-and-voices-10,0.28174064048149927,1,0.1917091737529763,0.37177210721002224
accents-and-voices-11,0.21002253044429697,1,0.052088907347633856,0.36795615354096006
accents-and-voices-12,0.23262660844786442,1,0.2666564121239003,0.19859680477182856
accents-and-voices-13,0.09306461047120913,1,0.14134983876278467,0.044779382179633585
accents-and-voices-14,0.02503704887926117,1,0.03907540982163709,0.01099868793688525
accents-and-voices-16,0.0408817342071029,1,0.00704731709597188,0.07471615131823392
accents-and-voices-18,0.003563120630085375,1,0.007126231700709822,9.559460927801361e-09
accents-and-voices-5,0.017763387447770573,1,0.03504468402704029,0.0004820908685008551
accents-and-voices-6,0.044528287031438706,1,0.08905542505571223,1.1490071651829203e-06
accents-and-voices-7,0.22960181209379113,1,0.4394355190690767,0.019768105118505592
advertisements-1,0.09198252221189926,1,0.18237385733450934,0.0015911870892891746
advertisements-12,0.3396995841294326,1,0.272146669632971,0.4072524986258941
advertisements-15,0.21003267352471847,1,8.911367850003122e-05,0.4199762333709369
advertisements-16,0.027701191092383486,1,0.050758096738640485,0.004644285446126488
advertisements-6,0.021675998761122407,1,0.043351403247941636,5.942743031795034e-07
advertisements-9,0.439445678875366,1,0.1232518265228138,0.7556395312279182
airline-safety-briefing-10,0.5226419611752313,1,0.04634052938048163,0.9989433929699809
airline-safety-briefing-2,0.04564785860863883,1,0.040057855767878583,0.05123786144939909
airline-safety-briefing-3,0.47193163925088066,1,0.025645454704677377,0.9182178237970839
airline-safety-briefing-4,0.2833689169330856,1,0.04587061180459268,0.5208672220615784
airline-safety-briefing-6,0.20569549608529641,1,0.011016616677841682,0.4003743754927511
airline-safety-briefing-7,0.6698035866991661,1,0.3396461644098184,0.9999610089885138
airline-safety-briefing-9,0.32105241830698217,1,0.21756478080292485,0.42454005581103943
car-show-10,0.42096137987809895,1,0.028961927631935214,0.8129608321242627
car-show-3,0.007121902265292962,1,0.013640619320790939,0.000603185209794986
classical-violinist,0.4544171584186064,1,0.10703472924224683,0.8017995875949661
cooking-show-10,0.11948875542742843,1,0.2385537543262823,0.00042375652857453176
cooking-show-11,0.23950734276406271,1,0.174776101843603,0.30423858368452245
cooking-show-12,0.02622953519958584,1,0.05092912355654409,0.001529946842627591
cooking-show-13,3.201919646570798e-05,1,1.1776659544153843e-07,6.392062633597442e-05
cooking-show-3,0.03131261263394367,1,0.025505739856733142,0.0371194854111542
cooking-show-5,0.10930895663396707,1,0.04977040713140938,0.16884750613652477
cooking-show-6,0.03280051180233424,1,0.03373988988761386,0.03186113371705462
cooking-show-7,0.02680905175896544,1,0.05237522945725825,0.0012428740606726311
crystailine-flowers-bloom,0.5109530642237247,1,0.02194570934642958,0.9999604191010197
emotions-11,0.5567915945471977,1,0.2586187905138989,0.8549643985804964
emotions-12,0.20405817375296909,1,0.3435993659317048,0.06451698157423336
emotions-13,0.34128732224630365,1,0.17311900481103296,0.5094556396815744
emotions-15,0.1536556781785187,1,0.22641201896123042,0.08089933739580697
emotions-2,0.34182058398067827,1,0.3941420763403181,0.28949909162103843
emotions-4,0.718216706233922,1,0.4902113679403133,0.9462220445275307
emotions-5,0.19979949105046474,1,0.222502136001374,0.1770968460995555
emotions-6,0.4952108045441664,1,0.2221857535298891,0.7682358555584436
emotions-7,0.16542374157253514,1,0.20850498521579885,0.12234249792927145
emotions-9,0.484552456228844,1,0.4471852947848985,0.5219196176727895
endless-line-in-nyc-10,0.004809143874345456,1,0.00950035452660053,0.00011793322209038369
endless-line-in-nyc-11,0.04650631041716726,1,0.059646519868077987,0.033366100966256536
endless-line-in-nyc-4,0.11647990818313605,1,0.051951217060588493,0.1810085993056836
endless-line-in-nyc-5,0.0059376756237109,1,0.011807026546872304,6.832470054949457e-05
endless-line-in-nyc-6,0.021709115596447053,1,0.004338761413451833,0.03907946977944227
endless-line-in-nyc-9,0.019248408862135285,1,0.022964855081694782,0.015531962642575788
foreign-language-test-10,0.17338653400150303,1,0.34535007801055306,0.0014229899924529668
foreign-language-test-4,0.014703223476353446,1,0.02908757163519165,0.0003188753175152444
foreign-language-test-9,0.04494059607786417,1,0.08974074576173505,0.00014044639399329748
movie-scenes-14,0.4262090931260908,1,0.2611738650058552,0.5912443212463264
